Date,SP500,STOXX50
2008-12-05,876.070007,2252.090088
2008-12-08,909.7000119999999,2449.280029
2008-12-09,888.669983,2480.790039
2008-12-10,899.23999,2495.580078
2008-12-11,873.590027,2485.389893
2008-12-12,879.7299800000001,2418.909912
2008-12-15,868.570007,2407.469971
2008-12-16,913.179993,2450.360107
2008-12-17,904.419983,2444.459961
2008-12-18,885.2800289999999,2452.419922
2008-12-19,887.8800050000001,2444.139893
2008-12-22,871.6300050000001,2397.649902
2008-12-23,863.159973,2382.139893
2008-12-24,868.150024,2382.139893
2008-12-29,869.419983,2388.300049
2008-12-30,890.6400150000001,2451.47998
2008-12-31,903.25,2451.47998
2009-01-05,927.4500119999999,2553.409912
2009-01-06,934.7000119999999,2578.429932
2009-01-07,906.650024,2538.550049
2009-01-08,909.7299800000001,2516.560059
2009-01-09,890.349976,2486.590088
2009-01-12,870.26001,2451.8701170000004
2009-01-13,871.7899779999999,2411.280029
2009-01-14,842.6199949999999,2298.459961
2009-01-15,843.73999,2257.669922
2009-01-16,850.1199949999999,2281.449951
2009-01-20,805.219971,2200.800049
2009-01-21,840.23999,2188.429932
2009-01-22,827.5,2160.070068
2009-01-23,831.950012,2147.8701170000004
2009-01-26,836.570007,2226.77002
2009-01-27,845.7100220000001,2224.6201170000004
2009-01-28,874.090027,2322.780029
2009-01-29,845.1400150000001,2269.399902
2009-01-30,825.880005,2236.97998
2009-02-02,825.4400019999999,2198.73999
2009-02-03,838.51001,2244.889893
2009-02-04,832.22998,2297.72998
2009-02-05,845.849976,2293.22998
2009-02-06,868.599976,2343.659912
2009-02-09,869.8900150000001,2348.949951
2009-02-10,827.159973,2268.149902
2009-02-11,833.73999,2267.899902
2009-02-12,835.1900019999999,2214.949951
2009-02-13,826.840027,2228.290039
2009-02-17,789.169983,2119.97998
2009-02-18,788.419983,2118.469971
2009-02-19,778.9400019999999,2114.840088
2009-02-20,770.049988,2011.680054
2009-02-23,743.330017,1991.630005
2009-02-24,773.1400150000001,1977.5
2009-02-25,764.900024,1965.2600100000002
2009-02-26,752.830017,2021.140015
2009-02-27,735.090027,1976.22998
2009-03-02,700.820007,1882.790039
2009-03-03,696.330017,1864.72998
2009-03-04,712.869995,1943.459961
2009-03-05,682.549988,1852.25
2009-03-06,683.380005,1817.2399899999998
2009-03-09,676.530029,1809.97998
2009-03-10,719.599976,1919.530029
2009-03-11,721.3599849999999,1932.790039
2009-03-12,750.73999,1962.640015
2009-03-13,756.549988,1969.52002
2009-03-16,753.8900150000001,2033.719971
2009-03-17,778.119995,2012.25
2009-03-18,794.349976,2019.189941
2009-03-19,784.039978,2039.5799559999998
2009-03-20,768.539978,2050.959961
2009-03-23,822.919983,2121.719971
2009-03-24,806.119995,2127.3701170000004
2009-03-25,813.880005,2149.179932
2009-03-26,832.8599849999999,2156.969971
2009-03-27,815.9400019999999,2118.76001
2009-03-30,787.530029,2010.609985
2009-03-31,797.869995,2071.1298829999996
2009-04-01,811.080017,2097.570068
2009-04-02,834.380005,2216.48999
2009-04-03,842.5,2198.75
2009-04-06,835.47998,2179.72998
2009-04-07,815.549988,2165.560059
2009-04-08,825.159973,2186.790039
2009-04-09,856.5599980000001,2247.889893
2009-04-14,841.5,2278.649902
2009-04-15,852.0599980000001,2262.959961
2009-04-16,865.2999880000001,2300.51001
2009-04-17,869.599976,2341.149902
2009-04-20,832.3900150000001,2249.439941
2009-04-21,850.080017,2243.6298829999996
2009-04-22,843.5499880000001,2285.689941
2009-04-23,851.919983,2259.540039
2009-04-24,866.2299800000001,2319.889893
2009-04-27,857.51001,2317.360107
2009-04-28,855.159973,2280.52002
2009-04-29,873.6400150000001,2334.590088
2009-04-30,872.8099980000001,2375.340088
2009-05-04,907.23999,2419.530029
2009-05-05,903.7999880000001,2407.550049
2009-05-06,919.5300289999999,2437.27002
2009-05-07,907.3900150000001,2406.080078
2009-05-08,929.2299800000001,2462.389893
2009-05-11,909.23999,2433.590088
2009-05-12,908.349976,2424.340088
2009-05-13,883.919983,2357.300049
2009-05-14,893.070007,2353.530029
2009-05-15,882.8800050000001,2364.100098
2009-05-18,909.7100220000001,2422.73999
2009-05-19,908.1300050000001,2459.590088
2009-05-20,903.4699710000001,2487.169922
2009-05-22,887.0,2433.52002
2009-05-26,910.330017,2468.449951
2009-05-27,893.0599980000001,2479.47998
2009-05-28,906.830017,2453.149902
2009-05-29,919.1400150000001,2451.23999
2009-06-02,944.73999,2534.169922
2009-06-03,931.76001,2483.389893
2009-06-04,942.4600220000001,2487.080078
2009-06-05,940.090027,2503.169922
2009-06-08,939.1400150000001,2468.3701170000004
2009-06-09,942.429993,2479.3798829999996
2009-06-10,939.150024,2500.939941
2009-06-11,944.8900150000001,2522.330078
2009-06-12,946.2100220000001,2509.219971
2009-06-15,923.7199710000001,2431.399902
2009-06-16,911.9699710000001,2425.969971
2009-06-17,910.7100220000001,2383.709961
2009-06-18,918.3699949999999,2414.439941
2009-06-19,921.2299800000001,2434.77002
2009-06-22,893.0399779999999,2359.280029
2009-06-23,895.099976,2353.47998
2009-06-24,900.9400019999999,2418.459961
2009-06-25,920.26001,2402.320068
2009-06-26,918.900024,2389.909912
2009-06-29,927.2299800000001,2437.719971
2009-06-30,919.320007,2401.689941
2009-07-01,923.330017,2449.72998
2009-07-02,896.419983,2369.649902
2009-07-06,898.7199710000001,2343.8798829999996
2009-07-07,881.0300289999999,2320.899902
2009-07-08,879.5599980000001,2291.330078
2009-07-09,882.679993,2313.8701170000004
2009-07-10,879.1300050000001,2281.469971
2009-07-13,901.0499880000001,2345.219971
2009-07-14,905.840027,2370.709961
2009-07-15,932.679993,2451.02002
2009-07-16,940.73999,2458.969971
2009-07-17,940.3800050000001,2469.199951
2009-07-20,951.1300050000001,2500.689941
2009-07-21,954.580017,2519.98999
2009-07-22,954.070007,2528.850098
2009-07-23,976.2899779999999,2585.790039
2009-07-24,979.26001,2582.76001
2009-07-27,982.179993,2601.409912
2009-07-28,979.6199949999999,2573.080078
2009-07-29,975.150024,2600.310059
2009-07-30,986.75,2654.73999
2009-07-31,987.4799800000001,2638.1298829999996
2009-08-03,1002.6300050000001,2674.070068
2009-08-04,1005.650024,2670.959961
2009-08-05,1002.7199710000001,2643.1298829999996
2009-08-06,997.080017,2662.01001
